Loading model from lenet.torchmodel
Initial accuracy = 0.9825
Pruning Threshold = 0.16056071370840072
Number of pruned params = 46238 out of 61706 total params
Fraction of params pruned = 74.93274560010373%
Fraction of zero params = 74.93274560010373%
Accuracy after pruning = 0.795
Iter 0, loss = 1.1530011892318726
Iter 1, loss = 0.8115421533584595
Iter 2, loss = 0.8029541969299316
Iter 3, loss = 0.7959066033363342
Iter 4, loss = 0.8067951202392578
Iter 5, loss = 0.7494969964027405
Iter 6, loss = 1.0378074645996094
Iter 7, loss = 0.8012011647224426
Iter 8, loss = 1.1189876794815063
Iter 9, loss = 1.1598892211914062
Iter 10, loss = 0.6957182884216309
Iter 11, loss = 0.9996625781059265
Iter 12, loss = 0.6311875581741333
Iter 13, loss = 0.5903955698013306
Iter 14, loss = 0.8795509338378906
Iter 15, loss = 0.7461127042770386
Iter 16, loss = 0.7830808162689209
Iter 17, loss = 0.7924438714981079
Iter 18, loss = 0.659610390663147
Iter 19, loss = 0.8643065094947815
Iter 20, loss = 1.0189104080200195
Iter 21, loss = 0.8314263820648193
Iter 22, loss = 0.8226404190063477
Iter 23, loss = 1.0935691595077515
Iter 24, loss = 0.7167685627937317
Iter 25, loss = 0.6171736121177673
Iter 26, loss = 0.6271413564682007
Iter 27, loss = 0.9938400983810425
Iter 28, loss = 0.8162263631820679
Iter 29, loss = 1.008180856704712
Iter 30, loss = 0.8939692974090576
Iter 31, loss = 0.918582022190094
Iter 32, loss = 0.7051138877868652
Iter 33, loss = 0.8682718276977539
Iter 34, loss = 0.553654670715332
Iter 35, loss = 0.8418260812759399
Iter 36, loss = 0.9494776725769043
Iter 37, loss = 0.9104105234146118
Iter 38, loss = 0.837315022945404
Iter 39, loss = 0.9948230981826782
Iter 40, loss = 0.6796968579292297
Iter 41, loss = 0.5787740349769592
Iter 42, loss = 1.2498682737350464
Iter 43, loss = 0.9125374555587769
Iter 44, loss = 0.5540439486503601
Iter 45, loss = 0.7627403140068054
Iter 46, loss = 0.8111538290977478
Iter 47, loss = 0.6891918778419495
