Loading model from train_sessions\train_sess_1\trained_models\lenet_pruned_1420step_0.9481accuracy.torchmodel
Initial accuracy = 0.9462
Pruning Threshold = 0.30220787320286036
Number of pruned params = 4353 out of 61706 total params
Fraction of params pruned = 7.054419343337763%
Fraction of zero params = 93.3215570609017%
Accuracy after pruning = 0.3191
Iter 0, loss = 1.7657294273376465
Iter 1, loss = 1.893831729888916
Iter 2, loss = 1.8591463565826416
Iter 3, loss = 1.8259986639022827
Iter 4, loss = 1.6176811456680298
Iter 5, loss = 1.8426834344863892
Iter 6, loss = 1.7897989749908447
Iter 7, loss = 2.2421488761901855
Iter 8, loss = 1.863451361656189
Iter 9, loss = 1.9002214670181274
Iter 10, loss = 2.226651668548584
Iter 11, loss = 2.0536491870880127
Iter 12, loss = 1.8752573728561401
Iter 13, loss = 1.646451473236084
Iter 14, loss = 1.6251713037490845
Iter 15, loss = 1.5976122617721558
Iter 16, loss = 1.7221013307571411
Iter 17, loss = 2.0994009971618652
Iter 18, loss = 1.9090832471847534
Iter 19, loss = 2.0613136291503906
Iter 20, loss = 1.9977573156356812
Iter 21, loss = 1.777822494506836
Iter 22, loss = 1.89182710647583
Iter 23, loss = 1.6023759841918945
Iter 24, loss = 1.8046867847442627
Iter 25, loss = 1.5645052194595337
Iter 26, loss = 1.8764736652374268
Iter 27, loss = 1.7855281829833984
Iter 28, loss = 1.9307714700698853
Iter 29, loss = 1.9388706684112549
Iter 30, loss = 1.780063509941101
Iter 31, loss = 2.0933592319488525
Iter 32, loss = 1.7655434608459473
Iter 33, loss = 2.1958112716674805
Iter 34, loss = 1.7193225622177124
Iter 35, loss = 1.83601975440979
Iter 36, loss = 1.5964179039001465
Iter 37, loss = 2.048874616622925
Iter 38, loss = 2.0404036045074463
Iter 39, loss = 1.8425040245056152
Iter 40, loss = 2.022284746170044
Iter 41, loss = 1.7901926040649414
Iter 42, loss = 1.745020866394043
Iter 43, loss = 1.844092845916748
Iter 44, loss = 1.841614007949829
Iter 45, loss = 1.896531343460083
Iter 46, loss = 1.7053656578063965
Iter 47, loss = 2.1414413452148438
Iter 48, loss = 2.0444204807281494
Iter 49, loss = 1.6851954460144043
Iter 50, loss = 2.0206429958343506
Iter 51, loss = 2.054104804992676
Iter 52, loss = 1.7891004085540771
Iter 53, loss = 1.7340772151947021
Iter 54, loss = 1.7891348600387573
Iter 55, loss = 1.6460834741592407
Iter 56, loss = 2.024548053741455
Iter 57, loss = 1.8425008058547974
Iter 58, loss = 1.5158400535583496
Iter 59, loss = 2.016916513442993
Iter 60, loss = 1.898235559463501
Iter 61, loss = 1.7252120971679688
Iter 62, loss = 1.6581922769546509
Iter 63, loss = 1.7924482822418213
Iter 64, loss = 1.7972393035888672
Iter 65, loss = 1.8080530166625977
Iter 66, loss = 1.7216284275054932
Iter 67, loss = 1.9205204248428345
Iter 68, loss = 2.040580987930298
Iter 69, loss = 1.6145817041397095
Iter 70, loss = 1.6728488206863403
Iter 71, loss = 1.8747938871383667
Iter 72, loss = 1.5465635061264038
Iter 73, loss = 1.6608338356018066
Iter 74, loss = 1.8561936616897583
Iter 75, loss = 1.9135079383850098
Iter 76, loss = 1.8457216024398804
Iter 77, loss = 1.9871511459350586
Iter 78, loss = 1.8508254289627075
Iter 79, loss = 1.8051961660385132
Iter 80, loss = 1.970252513885498
Iter 81, loss = 2.0035407543182373
Iter 82, loss = 1.9663760662078857
Iter 83, loss = 1.9175513982772827
Iter 84, loss = 1.7374308109283447
Iter 85, loss = 1.8573654890060425
